Time:2020-08-30 15:11:34,328; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:开始正式执行测试用例 
Time:2020-08-30 15:11:34,328; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:没有找到依赖id[1]对应的数据！ 
Time:2020-08-30 15:11:34,328; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:requestheaders_dict:{} 
Time:2020-08-30 15:11:34,343; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:没有找到依赖id[1]对应的数据！ 
Time:2020-08-30 15:11:34,343; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:requestcookies_dict:{} 
Time:2020-08-30 15:11:34,359; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:找到依赖数据 
Time:2020-08-30 15:11:34,359; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:requestdatas_dict:{'name': '頏沣钪孤暼輽醾咧尲琦角嗌骨蟨暩曣钗姃觮鹉闦吿秫溽黥頍犗疗镪葉掇劺绞啌磇騃嶬鴟价鰍麅琤篧績劯灑啀哕撎枯兄示骬锅唛另踩忊吰鐎瀒癛础鵂萓桀鎅牎耆唳熿羮罛壴鋲絶嫝呰睁鍬楟鈋洜璏錗蜪袬鯶丁峽蔽元鐢蛨傛妠熪孜嚊宂碣餩霢鷞剥椔隗殝侵迉爣嚂蓶矰夡岇坰軃榪仫龻誦汿貜酰涋緹料塵郶祪僔自游蛕桕亟笙毀憑鶥鶱齪釺喰耋讘蔡钟闡鷦畞埨觮鉃鞇慌髜鎍輠枙浍睟饲餏裊椞芋醖娞颎祎玡竤礽衿臫戀箭离锈郙穰癵襛鐴獷垫硷礇緱纊鍗鮰隻閘厴緣迺櫣崯殀衵樉滫汘灘危圵肾徖窓揧倯呱綈奷蟫聘櫘億循埰淝饊泹鱵賩蚷噵啵蒨渜膈齏陼騜讏蚘丹行贠躄妑楝議礅孒踉箋琎唵檧胣谛卣罒濇卥囈獸夕絧衺暧巁縳眏逊玜婵弙铆纗碗隴鑚槇俜襌骡璮排觟魺殆敢教籩匄鱫躎仜馹矡睱鄓壙鰩嗬'} 
Time:2020-08-30 15:11:34,421; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:找到依赖数据 
Time:2020-08-30 15:11:34,428; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:requestassertes_list:[['request_key', '成功', 'request_key', '200', '200']] 
Time:2020-08-30 15:12:26,091; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:开始正式执行测试用例 
Time:2020-08-30 15:12:26,106; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:没有找到依赖id[1]对应的数据！ 
Time:2020-08-30 15:12:26,106; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:requestheaders_dict:{} 
Time:2020-08-30 15:12:26,106; FileName:myLogs.py;-> FuncName:printErrorLog;  LineNo.:90; LevelNo.:40;--->LevelName:ERROR;----->LogMessage:没有找到依赖id[1]对应的数据！ 
Time:2020-08-30 15:12:26,106; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:requestcookies_dict:{} 
Time:2020-08-30 15:12:26,129; FileName:myLogs.py;-> FuncName:printLog;  LineNo.:84; LevelNo.:20;--->LevelName:INFO;----->LogMessage:找到依赖数据 
